species	C4
Euphorbia_pulcherrima	0
Euphorbia_maculata	1
Flaveria_cronquistii	0
Flaveria_bidentis	1
Grayia_spinosa	0
Atriplex_centralasiatica	1
Atriplex_lentiformis	1
Suaeda_linearis	0
Suaeda_salsa	0
Bassia_scoparia	1
Halogeton_glomeratus	1
Salsola_foliosa	1
Carex_breviculmis	0
Carex_nigra	0
Cyperus_brevifolius	1
Cyperus_esculentus-var-sativus	1
Abelia_chinensis	0
Abelmoschus_esculentus	0
Abronia_glabrifolia	
Abronia_nealleyi	
